	exact_age	length_of_residence	num_adults	gender	hh_marital_status	dwell_type	urban_rural_flag	flag_pres_kids_true	age_range
0	46.0	6.0	2.0	0	0	1	0	0	45.5
1	52.0	0.0	4.0	0	0	1	1	0	55.5
2	58.0	18.0	5.0	0	0	1	1	1	55.5
3	40.0	9.0	2.0	0	0	1	1	1	35.5
4	56.0	21.0	4.0	0	0	1	1	1	55.5
5	63.0	13.0	3.0	1	0	1	1	1	65.5
6	52.0	11.0	2.0	1	0	1	1	0	55.5
7	25.0	15.0	5.0	0	0	1	1	1	25.5
8	28.0	28.0	5.0	1	0	1	1	1	25.5
9	58.0	7.0	5.0	1	0	1	1	1	55.5
10	34.0	11.0	2.0	1	0	1	0	1	35.5
11	60.0	5.0	2.0	0	0	1	0	1	55.5
12	45.0	5.0	1.0	0	1	1	0	1	45.5
13	36.0	18.0	4.0	1	0	1	1	1	35.5
14	67.0	2.0	2.0	0	0	1	1	1	65.5
15	51.0	5.0	1.0	0	0	1	1	1	55.5
16	69.0	6.0	1.0	1	1	1	1	0	65.5
17	73.0	18.0	2.0	1	1	1	1	1	75.5
18	58.0	3.0	1.0	0	0	1	1	1	55.5
19	42.0	3.0	3.0	1	0	1	1	0	45.5
20	57.0	6.0	4.0	0	0	1	1	0	55.5
21	77.0	12.0	2.0	1	0	1	0	0	75.5
22	45.0	3.0	1.0	1	1	1	1	0	45.5
23	45.0	4.0	1.0	0	1	1	1	1	45.5
24	44.0	4.0	1.0	0	1	1	1	0	45.5
25	45.0	4.0	1.0	0	1	3	1	0	45.5
26	33.0	4.0	2.0	1	0	1	1	0	35.5
27	79.0	11.0	2.0	1	0	1	1	0	75.5
28	35.0	3.0	1.0	1	1	1	1	0	35.5
29	36.0	5.0	5.0	0	0	1	0	1	35.5
30	26.0	13.0	4.0	0	1	1	1	1	25.5
31	27.0	4.0	2.0	0	1	1	1	0	25.5
32	23.0	21.0	7.0	0	1	1	1	1	25.5
33	73.0	5.0	3.0	1	0	1	1	0	75.5
34	24.0	2.0	1.0	0	1	1	1	1	25.5
35	24.0	8.0	3.0	1	1	1	1	1	25.5
36	36.0	7.0	3.0	0	0	2	1	1	35.5
